Domain ID,Domain Name,Domain Description,Proposal ID,Proposal Text,Sentiment,Sentiment Category,Rationale
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_080,Create green business zones with 50% tax reduction for companies achieving zero-waste operations.,0.8,proactive_action,Major incentives for transformative business practices
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_085,Establish circular economy business district requiring 75% waste reduction and renewable energy use.,0.85,proactive_action,Comprehensive transformation of business operations
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_090,Require all businesses to achieve carbon neutrality through verified reductions and local offsets by 2028.,0.9,proactive_action,Transformative approach to business climate impact
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_095,Create climate-positive business certification requiring 110% carbon reduction through direct and community actions.,0.95,proactive_action,Near-complete transformation to regenerative business models
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_100,Mandate all businesses to implement comprehensive climate action plans achieving carbon negative operations through direct reductions and community benefits by 2026.,1.0,proactive_action,Complete transformation to climate-regenerative business sector
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_000,Prohibit any new renewable energy installations within city limits and mandate coal-based backup generators for all municipal facilities.,0.0,active_resistance,Actively blocks renewable energy adoption and mandates fossil fuel use
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_005,Remove all solar panel permits from municipal buildings and prohibit new renewable energy project applications.,0.05,active_resistance,Deliberately dismantles existing renewable infrastructure
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_010,"Require all municipal energy contracts to prioritize lowest cost regardless of source, with explicit exclusion of renewable premium payments.",0.1,active_resistance,Systematically disadvantages clean energy options
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_015,Mandate that all emergency power systems must use diesel generators without renewable alternatives.,0.15,active_resistance,Enforces fossil fuel dependency in critical systems
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_020,Cap renewable energy installations at 5% of municipal power consumption and prohibit energy storage systems.,0.2,minimal_acknowledgment,Actively limits clean energy expansion
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_025,Monitor municipal energy consumption patterns without implementing any efficiency measures.,0.25,minimal_acknowledgment,Basic awareness without action
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_030,Allow optional renewable energy installations only when grid upgrades are already planned.,0.3,minimal_acknowledgment,Passive acceptance of renewables when convenient
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_035,Document renewable energy potential of municipal properties without installation requirements.,0.35,minimal_acknowledgment,Basic assessment without implementation
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_040,Install energy monitoring displays in public buildings without consumption reduction targets.,0.4,balanced_approach,Creates awareness without requiring changes
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_045,Consider both renewable and conventional energy sources equally in procurement decisions.,0.45,balanced_approach,Balanced consideration without preference
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_050,Maintain current energy mix with gradual adoption of renewables based on market prices.,0.5,balanced_approach,Neutral approach following market trends
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_055,Create a public dashboard showing real-time municipal renewable energy generation.,0.55,balanced_approach,Transparency promoting voluntary action
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_060,Offer 15% grant funding for new commercial solar installations up to 100kW.,0.6,supportive_measures,Modest incentives for renewable adoption
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_065,Require 30% renewable energy in municipal power purchase agreements by 2025.,0.65,supportive_measures,Significant but measured clean energy commitment
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_070,Install solar panels on 50% of suitable municipal rooftops within 4 years.,0.7,supportive_measures,Substantial renewable infrastructure development
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_075,Mandate all new municipal facilities to include minimum 50kW renewable generation capacity.,0.75,supportive_measures,Strong clean energy requirement with specific metrics
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_080,Implement community solar projects providing 40% of residential power needs by 2026.,0.8,proactive_action,Major renewable energy infrastructure commitment
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_085,Establish municipal micro-grids with 75% renewable supply and battery storage.,0.85,proactive_action,Comprehensive clean energy system transformation
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_090,Require 90% renewable energy for all municipal operations by 2028.,0.9,proactive_action,Aggressive clean energy transition
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_095,Create a municipal utility committed to 100% renewable energy with storage by 2027.,0.95,proactive_action,Near-complete energy system transformation
energy,Energy,"Energy generation, distribution, efficiency, and resilience",ENG_100,Mandate 100% renewable energy for all municipal operations with distributed storage and smart grid integration by 2026.,1.0,proactive_action,Complete transformation to clean energy systems
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_000,Dismantle all municipal air quality monitoring stations and explicitly prohibit the collection of climate-related health data in public health assessments.,0.0,active_resistance,Actively prevents the monitoring and understanding of climate-related health impacts by removing existing infrastructure and blocking data collection
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_005,Remove heat emergency response protocols from city operations and eliminate funding for cooling centers.,0.05,active_resistance,Deliberately reduces community resilience to climate-related health emergencies by eliminating critical response infrastructure
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_010,Restrict public health reporting to exclude any mention of climate-related illnesses or extreme weather impacts.,0.1,active_resistance,Systematically prevents acknowledgment of climate-health connections in public health management
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_015,Mandate the removal of tree cover near medical facilities to prioritize parking expansion.,0.15,active_resistance,Enforces practices that worsen both urban heat island effects and air quality around sensitive facilities
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_020,Cap emergency response planning at current levels with explicit exclusion of climate-related scenario training.,0.2,minimal_acknowledgment,Actively limits preparation for climate-related health emergencies
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_025,Document heat-related emergency calls without implementing any preventive measures.,0.25,minimal_acknowledgment,Provides basic monitoring of climate health impacts without acting to address them
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_030,Allow optional installation of air quality sensors when other health monitoring equipment is being replaced.,0.3,minimal_acknowledgment,Permits but doesn't prioritize climate-health monitoring infrastructure
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_035,Conduct basic summer heat risk assessments with voluntary guidance for vulnerable populations.,0.35,minimal_acknowledgment,Creates awareness of climate health risks without requiring protective actions
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_040,Install temperature monitoring stations in major public spaces without response protocols.,0.4,balanced_approach,Provides fundamental climate-health data without mandating responses
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_045,Consider both traditional health metrics and climate-related health impacts in program planning.,0.45,balanced_approach,Balances conventional and climate-related health considerations equally
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_050,Maintain current health monitoring systems with equal attention to traditional and climate-related health risks.,0.5,balanced_approach,Takes a neutral approach to climate health integration
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_055,Create public dashboards showing real-time air quality and heat index data across the city.,0.55,balanced_approach,Promotes transparency and awareness of climate-related health conditions
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_060,Establish mobile cooling centers that deploy to high-risk neighborhoods during heat waves.,0.6,supportive_measures,Creates proactive response to climate-related health risks
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_065,Require all municipal healthcare facilities to develop climate adaptation plans for extreme weather events.,0.65,supportive_measures,Sets mandatory but achievable climate resilience targets for health facilities
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_070,Install advanced air quality monitoring networks in all environmental justice communities.,0.7,supportive_measures,Deploys technology to protect vulnerable populations from climate impacts
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_075,Mandate climate-resilient design for all new healthcare facilities with backup renewable power.,0.75,supportive_measures,Strong requirements for climate-resilient health infrastructure
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_080,Implement comprehensive heat action plan with automated early warning system and staged response protocols.,0.8,proactive_action,Major investment in climate-health emergency response systems
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_085,Create a climate-health rapid response team with dedicated funding and authority to implement emergency measures.,0.85,proactive_action,Comprehensive transformation of emergency health services for climate resilience
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_090,Establish neighborhood resilience hubs with advanced air filtration and renewable-powered cooling in all vulnerable communities.,0.9,proactive_action,Transformative approach to community climate-health protection
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_095,Deploy city-wide network of smart environmental sensors with AI-powered health risk prediction and automated response systems.,0.95,proactive_action,Near-complete transformation to proactive climate-health management
health,Health,"Public health measures addressing climate impacts, air quality, and community resilience",HTH_100,"Mandate comprehensive climate-health protection systems in all public spaces, including air quality management, cooling infrastructure, and emergency response protocols by 2026.",1.0,proactive_action,Complete transformation to climate-resilient public health systems
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_000,Mandate minimum one-acre lots for all new residential development and require single-use zoning with strict separation of residential and commercial areas.,0.0,active_resistance,"Actively enforces low-density, car-dependent sprawl by requiring dispersed development patterns that maximize transportation emissions and infrastructure energy use"
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_005,Remove all density bonuses and transit-oriented development incentives from zoning code while requiring minimum four parking spaces per unit.,0.05,active_resistance,Deliberately dismantles existing tools for compact development while enforcing car-centric patterns
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_010,Prohibit mixed-use development and require minimum 1000-foot separation between different land uses.,0.1,active_resistance,Systematically prevents walkable neighborhoods by enforcing strict use separation
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_015,Mandate suburban-style setbacks of at least 50 feet for all new construction regardless of location.,0.15,active_resistance,Enforces land-intensive development patterns that increase infrastructure energy demands
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_020,Cap building heights at two stories in all zones regardless of transit access or location efficiency.,0.2,minimal_acknowledgment,Actively limits density even in locations ideal for compact development
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_025,Document development patterns without implementing any density or mixed-use provisions.,0.25,minimal_acknowledgment,Provides basic monitoring of land use without promoting efficiency
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_030,Allow optional clustering of development only when specifically requested by developers.,0.3,minimal_acknowledgment,Permits but doesn't encourage more efficient land use patterns
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_035,Conduct basic walkability assessments of neighborhoods with voluntary improvement guidelines.,0.35,minimal_acknowledgment,Creates awareness of urban form impacts without requiring changes
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_040,Install sidewalks in main commercial areas without comprehensive pedestrian network planning.,0.4,balanced_approach,Provides basic walking infrastructure without systematic approach
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_045,Consider both compact and traditional development patterns equally in zoning decisions.,0.45,balanced_approach,Balances different development approaches without preference
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_050,Maintain current mix of development patterns with equal treatment of all densities.,0.5,balanced_approach,Takes neutral approach to urban form and density
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_055,Create overlay zones allowing higher density development near transit stops.,0.55,balanced_approach,Promotes location-efficient development through voluntary incentives
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_060,Offer 25% density bonuses for developments achieving walkability and mixed-use criteria.,0.6,supportive_measures,Provides meaningful incentives for climate-friendly development patterns
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_065,Require minimum residential density of 15 units per acre within quarter-mile of transit stations.,0.65,supportive_measures,Sets mandatory but achievable transit-supportive density targets
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_070,Implement form-based code requiring pedestrian-oriented design in all commercial districts.,0.7,supportive_measures,Creates comprehensive framework for walkable development
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_075,Mandate mixed-use development with minimum 30 units per acre in all growth centers.,0.75,supportive_measures,"Strong requirements for compact, efficient development"
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_080,Create car-free zones in major activity centers with comprehensive pedestrian infrastructure.,0.8,proactive_action,Major transformation of urban mobility patterns
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_085,Establish eco-districts requiring 75% of daily needs within 15-minute walk of all residences.,0.85,proactive_action,Comprehensive approach to self-sufficient neighborhoods
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_090,Require all new development to achieve net-zero transportation emissions through location and design.,0.9,proactive_action,Transformative approach to climate-optimized development
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_095,Create climate-positive zones requiring development to generate more renewable energy than consumed.,0.95,proactive_action,Near-complete transformation to regenerative urban form
land_use,Land Use,"Urban development patterns, zoning regulations, and spatial planning for climate resilience",LND_100,"Mandate comprehensive sustainable neighborhood development achieving zero-carbon operations through integrated design, density, and renewable energy by 2026.",1.0,proactive_action,Complete transformation to climate-regenerative urban development
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_000,"Remove protected status from all urban natural areas and mandate the removal of existing green infrastructure, replacing with impervious surfaces.",0.0,active_resistance,"Actively degrades urban ecosystems by removing protection and destroying natural climate buffers, increasing heat island effects and reducing natural carbon sinks"
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_005,Eliminate urban forestry programs and redirect all tree maintenance funds to hardscape development.,0.05,active_resistance,Deliberately reduces urban forest capacity to sequester carbon and provide natural cooling
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_010,Restrict all habitat corridor development and require fragmentation of existing natural areas during development.,0.1,active_resistance,Systematically weakens ecosystem resilience by preventing wildlife movement and adaptation
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_015,Mandate removal of native vegetation in public spaces and replace with non-native ornamental species.,0.15,active_resistance,Enforces practices that reduce biodiversity and ecosystem resilience to climate changes
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_020,Cap green space requirements at 5% of development area regardless of ecosystem value.,0.2,minimal_acknowledgment,Actively limits natural area preservation and ecosystem services
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_025,Document existing urban tree canopy coverage without implementing protection measures.,0.25,minimal_acknowledgment,Provides basic monitoring without preserving natural climate benefits
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_030,Allow optional preservation of mature trees during development if not conflicting with construction.,0.3,minimal_acknowledgment,Permits but doesn't prioritize preservation of natural carbon sinks
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_035,Conduct basic biodiversity surveys in public parks with voluntary conservation guidelines.,0.35,minimal_acknowledgment,Creates awareness of ecosystem values without requiring protection
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_040,Install interpretive signage about ecosystem services in major natural areas.,0.4,balanced_approach,Provides education without active ecosystem enhancement
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_045,Consider both ecosystem services and development needs equally in land use decisions.,0.45,balanced_approach,Balances natural and built environment without preference
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_050,Maintain current urban forest with one-to-one replacement of removed trees.,0.5,balanced_approach,Takes neutral approach to natural resource management
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_055,Create public dashboard tracking urban ecosystem health indicators city-wide.,0.55,balanced_approach,Promotes transparency and awareness of natural system conditions
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_060,Offer 25% density bonuses for developments that preserve significant natural areas.,0.6,supportive_measures,Provides meaningful incentives for ecosystem protection
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_065,Require all new developments to achieve no net loss of ecosystem services through on-site preservation or mitigation.,0.65,supportive_measures,Sets mandatory but achievable ecosystem protection standards
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_070,Implement green corridor network connecting all major natural areas with native vegetation.,0.7,supportive_measures,Creates substantial ecosystem connectivity for climate adaptation
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_075,Mandate 40% tree canopy coverage in all neighborhoods through protection and new plantings within 5 years.,0.75,supportive_measures,Strong requirements for expanding natural climate solutions
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_080,Create biodiversity zones requiring 60% of area dedicated to enhanced natural habitat.,0.8,proactive_action,Major investment in ecosystem enhancement
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_085,Establish comprehensive green infrastructure network achieving 75% stormwater management through natural systems.,0.85,proactive_action,Transformative approach to ecosystem-based adaptation
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_090,Require all developments to achieve net positive impact on biodiversity and ecosystem services.,0.9,proactive_action,Comprehensive transformation to regenerative development
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_095,Create living infrastructure mandate requiring integration of ecosystems into all municipal structures and spaces.,0.95,proactive_action,Near-complete transformation to nature-based urban systems
natural_environment,Natural Environment,"Urban ecosystems, biodiversity protection, and green infrastructure enhancement",ENV_100,Mandate comprehensive ecosystem regeneration achieving 50% increase in biodiversity and natural carbon sequestration by 2026.,1.0,proactive_action,Complete transformation to regenerative ecosystem management
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_000,Remove all climate projections from hazard mitigation planning and mandate use of historical data only for emergency preparedness.,0.0,active_resistance,Actively prevents adaptation to changing climate risks by removing forward-looking assessments from emergency planning
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_005,Eliminate funding for climate-related disaster preparedness and restrict emergency planning to conventional hazards only.,0.05,active_resistance,Deliberately reduces community capacity to prepare for climate-intensified disasters
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_010,Prohibit inclusion of sea level rise projections in flood zone mapping and infrastructure planning.,0.1,active_resistance,Systematically ignores growing climate risks in critical planning processes
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_015,Mandate removal of climate change considerations from all emergency response protocols and training.,0.15,active_resistance,Enforces outdated emergency response approaches that ignore climate impacts
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_020,Cap disaster preparedness budgets at current levels with explicit exclusion of climate adaptation measures.,0.2,minimal_acknowledgment,Actively limits resources for climate-resilient emergency management
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_025,Document extreme weather events without implementing any climate adaptation strategies.,0.25,minimal_acknowledgment,Provides basic monitoring without preparedness improvements
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_030,Allow optional consideration of climate projections in non-critical infrastructure planning.,0.3,minimal_acknowledgment,Permits but doesn't require climate-informed planning
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_035,Conduct basic climate vulnerability assessments with voluntary adaptation guidelines.,0.35,minimal_acknowledgment,Creates awareness of climate risks without requiring action
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_040,Install flood monitoring systems in major waterways without adaptation planning.,0.4,balanced_approach,Provides basic risk monitoring without systematic response
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_045,Consider both historical data and climate projections equally in hazard planning.,0.45,balanced_approach,Balances traditional and forward-looking risk assessment
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_050,Maintain current emergency response capabilities with equal attention to all hazard types.,0.5,balanced_approach,Takes neutral approach to climate vs conventional risks
natural_hazards,Natural Hazards,"Disaster resilience, risk management, and climate adaptation planning",HZD_055,Create public dashboard showing real-time natural hazard risks and climate indicators.,0.55,balanced_approach,Promotes transparency and awareness of evolving risks
